p1,p2,response
-9.931128,-53.320965,Oxidoreductases
5.526117,-3.4519153,Oxidoreductases
-27.181156,67.15812,Oxidoreductases
56.018414,-40.525093,Oxidoreductases
-20.021038,1.081749,Oxidoreductases
-25.426731,24.372395,Oxidoreductases
17.80214,15.874016,Oxidoreductases
-8.571126,-32.147747,Oxidoreductases
-48.21451,53.42631,Oxidoreductases
-29.844572,9.151786,Oxidoreductases
33.591145,-42.218704,Oxidoreductases
9.791482,0.17818797,Oxidoreductases
-2.4574485,-35.543026,Oxidoreductases
22.83908,-75.582825,Oxidoreductases
-61.219524,-4.2104955,Oxidoreductases
-8.331717,-20.512604,Oxidoreductases
-4.6078124,-72.37652,Oxidoreductases
-30.552372,10.30492,Oxidoreductases
-33.881516,-40.09696,Oxidoreductases
-100.1041,44.76016,Oxidoreductases
-100.1041,44.76016,Oxidoreductases
1.1004531,-44.58203,Oxidoreductases
37.013218,-49.916767,Oxidoreductases
24.06931,24.978191,Oxidoreductases
36.123047,-44.702717,Oxidoreductases
14.392456,-49.657936,Oxidoreductases
1.2591764,-61.55244,Oxidoreductases
48.61605,-60.252968,Oxidoreductases
30.868784,-16.45109,Oxidoreductases
25.128616,-22.331474,Oxidoreductases
64.66234,-7.5028896,Oxidoreductases
-8.192415,-61.92824,Oxidoreductases
66.82188,-4.3965964,Oxidoreductases
-44.511395,-37.579365,Oxidoreductases
11.880112,-4.2749667,Oxidoreductases
62.523666,12.612098,Oxidoreductases
15.099537,38.82837,Oxidoreductases
-10.780716,34.853264,Oxidoreductases
28.632277,-59.56346,Oxidoreductases
-3.2004802,49.5558,Oxidoreductases
7.108508,50.954655,Oxidoreductases
25.921965,-3.3478222,Oxidoreductases
-19.403366,41.46496,Oxidoreductases
23.724424,-66.81245,Oxidoreductases
47.09431,57.2815,Oxidoreductases
-29.537481,-18.39447,Oxidoreductases
68.05398,-14.936352,Oxidoreductases
47.093334,57.28348,Oxidoreductases
-42.042965,-62.498505,Oxidoreductases
47.091976,57.278366,Oxidoreductases
-52.2724,-43.111908,Oxidoreductases
-8.842519,33.390263,Oxidoreductases
-31.08766,-15.013181,Oxidoreductases
17.579283,53.62396,Oxidoreductases
-42.524315,-18.517935,Oxidoreductases
22.977907,-28.346651,Oxidoreductases
-6.212548,-63.47441,Oxidoreductases
-31.445063,-38.711464,Oxidoreductases
-6.1937604,-69.09748,Oxidoreductases
26.887066,9.094857,Oxidoreductases
52.42162,47.99955,Oxidoreductases
53.436707,-65.20157,Oxidoreductases
-13.384331,-55.311024,Oxidoreductases
-34.335945,-80.293175,Oxidoreductases
-14.009342,-58.58063,Oxidoreductases
-39.366814,11.798673,Oxidoreductases
-32.316784,-19.931921,Oxidoreductases
0.756032,-67.09746,Oxidoreductases
-20.13137,6.738179,Oxidoreductases
-21.458588,-44.48013,Oxidoreductases
3.3506596,-10.011575,Oxidoreductases
86.56985,36.64988,Oxidoreductases
86.57901,36.655556,Oxidoreductases
22.318996,51.999374,Oxidoreductases
-18.93776,-51.98369,Oxidoreductases
3.8359866,-0.30639106,Oxidoreductases
1.6388073,-24.091888,Oxidoreductases
-28.173302,19.520197,Oxidoreductases
67.59624,62.56332,Oxidoreductases
59.738605,72.02048,Oxidoreductases
-61.78252,-12.268925,Oxidoreductases
-92.288895,6.1671486,Oxidoreductases
-25.33536,-59.864853,Oxidoreductases
56.017826,28.549767,Oxidoreductases
-25.643082,86.27626,Oxidoreductases
-35.423195,-24.084663,Oxidoreductases
-56.737778,40.509224,Oxidoreductases
-24.99428,48.583797,Oxidoreductases
-8.692109,-57.37235,Oxidoreductases
-48.980328,-11.731705,Oxidoreductases
-39.38224,11.928349,Oxidoreductases
-41.59702,39.93231,Oxidoreductases
59.74269,72.02936,Oxidoreductases
-28.914566,-69.99176,Oxidoreductases
27.285166,59.394093,Oxidoreductases
86.54976,36.625706,Oxidoreductases
39.144222,56.296585,Oxidoreductases
-17.679865,39.782307,Oxidoreductases
22.22064,51.868782,Oxidoreductases
-61.795334,-16.109663,Oxidoreductases
-46.12764,-8.361718,Oxidoreductases
-46.034645,-1.897077,Oxidoreductases
85.54674,35.75841,Oxidoreductases
-53.610283,12.667188,Oxidoreductases
-42.30342,36.68742,Oxidoreductases
2.5848103,59.862885,Oxidoreductases
85.534035,35.747112,Oxidoreductases
59.73442,72.0136,Oxidoreductases
-17.825306,-34.94933,Oxidoreductases
25.514784,-22.01531,Oxidoreductases
-54.742725,-17.336576,Oxidoreductases
67.597626,62.562263,Oxidoreductases
59.73579,72.02006,Oxidoreductases
-20.148743,3.2640414,Oxidoreductases
44.920353,-33.85337,Oxidoreductases
59.12915,-1.2758121,Oxidoreductases
11.98206,-24.229946,Oxidoreductases
-30.368443,14.087556,Oxidoreductases
2.0931377,-5.5890183,Oxidoreductases
-3.52164,9.000767,Oxidoreductases
13.776924,-11.393107,Oxidoreductases
12.190378,-15.179228,Oxidoreductases
17.867289,62.427734,Oxidoreductases
-55.984726,13.417931,Oxidoreductases
-23.825283,3.786878,Oxidoreductases
-28.84474,32.18097,Oxidoreductases
-7.002743,-19.347973,Oxidoreductases
21.840324,26.701166,Oxidoreductases
-9.239741,-47.39032,Oxidoreductases
21.964167,-67.70251,Oxidoreductases
-7.557799,-18.798246,Oxidoreductases
25.644588,2.2393355,Oxidoreductases
-27.741972,12.981726,Oxidoreductases
-3.931908,44.016705,Oxidoreductases
-57.438267,41.073853,Oxidoreductases
-10.5311365,15.290549,Oxidoreductases
-23.066113,47.619114,Oxidoreductases
-25.810408,29.650795,Oxidoreductases
-31.212025,52.265175,Oxidoreductases
9.717677,53.959213,Oxidoreductases
-85.67978,35.952137,Oxidoreductases
36.584606,58.33095,Oxidoreductases
-31.754269,28.72224,Oxidoreductases
54.200027,27.207508,Oxidoreductases
36.954826,48.122036,Oxidoreductases
-55.54175,46.220337,Oxidoreductases
-41.470646,76.9881,Oxidoreductases
0.12597363,-46.81711,Oxidoreductases
-7.3367567,2.4644215,Oxidoreductases
32.67227,36.382477,Oxidoreductases
1.9123544,0.8441137,Oxidoreductases
33.29501,-32.423264,Oxidoreductases
-75.98517,18.738956,Oxidoreductases
-47.6133,-34.976326,Oxidoreductases
-18.578306,-6.4670873,Oxidoreductases
-85.68143,35.955788,Oxidoreductases
14.945515,16.617517,Oxidoreductases
-70.37582,-12.227119,Oxidoreductases
